,"MA","Title","First author","Last author","Abstract","OnResearchgate","DOI","rg_URL"
56,"MA2","Combined effects of earthworms and vesicular-arbuscular mycorrhizas on plant and aphid performance","Susanne Wurst","Stefan Scheu"," • Vesicular–arbuscular mycorrhiza (VAM) and earthworms are known to affect plant and herbivore performance. However, surprisingly few studies have investigated their interactions. • In a glasshouse experiment we investigated the effects of earthworms (Aporrectodea caliginosa) and VAM (Glomus intraradices) on the growth and chemistry of Plantago lanceolata and the performance of aphids (Myzus persicae). • Earthworms did not affect VAM root colonization. Earthworms enhanced shoot biomass, and VAM reduced root biomass. VAM increased plant phosphorus content, but reduced the total amount of N in leaves. Earthworms led to a preferential uptake of soil N compared with 15N from the added grass residues in the absence of VAM. Earthworm presence reduced the concentration of catalpol. Earthworms and VAM combined accelerated the development of M. persicae, while the development tended to be delayed when only VAM or earthworms were present. • We suggest that earthworms promote plant growth by enhancing soil N availability and may affect herbivores by influencing concentrations of secondary metabolites. VAM enhances the P uptake of plants, but presumably competes with plant roots for N","May 2004","DOI: 10.1111/j.1469-8137.2004.01106.x","https://www.researchgate.net/publication/229949090_Combined_effects_of_earthworms_and_vesicular-arbuscular_mycorrhizas_on_plant_and_aphid_performance?_sg=qsmdTsG1itO8oNS7HUP4i9P889obzDgFjARo-3sWmLHtFeOUgkx-NxQMV9eRg51wMK4ngGM9IrywGg8"
57,"MA2","Colonization of Tanacetum vulgare by aphids is reduced by earthworms","Susanne Wurst","Manfred Forstreuter","Soil organisms affect plant growth and chemistry and have subsequent effects on aboveground herbivore performance. However, whether herbivores discriminate between plants exposed to different soil organisms when colonizing their host plants is largely unexplored. In a greenhouse study, Tanacetum vulgare L. (Asteraceae) growing in a ruderal plant community in the presence and absence of arbuscular mycorrhizal fungi (AMF) and earthworms [Aporrectodea spp. (Haplotaxida: Lumbricidae)] was colonized by aphids [Myzus persicae Sulzer (Hemiptera: Aphididae)]. The aphids preferred to colonize plants without earthworms in the soil, and the numbers of aphids remained lower on the plants with earthworms, irrespective of the presence of AMF. Although the N, C, and P concentrations of the shoots were not affected by the soil organisms, AMF increased total aboveground biomass, total N, C, and P content, and photosynthetic activity (measured as electron transport rate) in the leaves under high light intensity. These results suggest that earthworms affect chemical cues that are used by aphids to judge host quality prior to feeding. Discrimination between plants with and without exposure to earthworms by aboveground herbivores is a novel aspect of plant-mediated interactions between below- and aboveground organisms.","Aug 2010","DOI: 10.1111/j.1570-7458.2010.01035.x","https://www.researchgate.net/publication/229993406_Colonization_of_Tanacetum_vulgare_by_aphids_is_reduced_by_earthworms?_sg=l1Vg0_82JHCDpaiQydMifiPZD3ISOAGc5agA_tfKxxJWPSu69qR-y6AMHBiESPTsiGktf-I2pMJHdpU"
58,"MA2","Indirect effects of earthworms (Aporrectodea caliginosa) on an above-ground tritrophic interaction","Susanne Wurst","T.Hefin Jones","Effects of earthworms in soils of contrasting nitrogen content on a plant-aphid-parasitoid interaction were investigated in a greenhouse experiment. Presence of earthworms (Aporrectodea caliginosa) increased root biomass and carbon content of shoots of Cardamine hirsuta. The nitrogen content of shoots and roots was increased by earthworms, but only in the more enriched nutrient soil. Aphid reproduction (Myzus persicae) was enhanced by the presence of earthworms. Soil type, but not earthworm presence, affected the dynamics of the parasitoid wasp Aphidius colemani; the number of parasitised aphids was increased on plants growing in the enriched soil. Larger parasitoids also emerged from mummies of plants growing in this soil.","Dec 2003","DOI: 10.1078/0031-4056-00173","https://www.researchgate.net/publication/222778375_Indirect_effects_of_earthworms_Aporrectodea_caliginosa_on_an_above-ground_tritrophic_interaction?_sg=m82DjLfv8VrIUSqQI3vCt9exh0cABte7WRmy-GyVNvYcR0miUp6hy8oX5fyjEVQwyZb72yaleA8ej-I"
59,"MA2","Effects of earthworms and organic litter distribution on plant performance and aphid reproduction","Susanne Wurst","Stefan Scheu","Human management practices and large detritivores such as earthworms incorporate plant litter into the soil, thereby forming a heterogeneous soil environment from which plant roots extract nutrients. In a greenhouse experiment we investigated effects of earthworms and spatial distribution of (15)N-labelled grass litter on plants of different functional groups [ Lolium perenne (grass), Plantago lanceolata (forb), Trifolium repens (legume)]. Earthworms enhanced shoot and root growth in L. perenne and P. lanceolata and N uptake from organic litter and soil in all plant species. Litter concentrated in a patch (compared with litter mixed homogeneously into the soil) increased shoot biomass and (15)N uptake from the litter in L. perenne and enhanced root proliferation in P. lanceolata when earthworms were present. Growth of clover (T. repens) was rather independent of the presence of earthworms and organic litter distribution: nevertheless, clover took up more nitrogen in the presence of earthworms and exploited more (15)N from the added litter than the other plant species. The magnitude of the effects of earthworms and organic litter distribution differed between the plant species, indicating different responses of plants with contrasting root morphology. Aphid (Myzus persicae) reproduction was reduced on P. lanceolata in the presence of earthworms. We suggest that earthworm activity may indirectly alter plant chemistry and hence defence mechanisms against herbivores.","Oct 2003","DOI: 10.1007/s00442-003-1329-x","https://www.researchgate.net/publication/10676112_Effects_of_earthworms_and_organic_litter_distribution_on_plant_performance_and_aphid_reproduction?_sg=ithMZ2k7CETAnQw1MVWnqtoyt2qqzzAkUjCjfOVtbDv7XfMWudIljJwujSyKhp3zy-496WVvEtu2dPY"
60,"MA2","Effects of belowground biota on primary and secondary metabolites in Brassica oleracea","Susanne Wurst","Stefan Scheu","Soil organisms in direct and indirect interaction with plant roots affect aboveground herbivores, likely by inducing different plant responses. We investigated the combined effects of the root-knot nematode Meloidogyne incognita (in direct interaction with roots) and the endogeic earthworm Octolasion tyrtaeum (in indirect interaction with roots) on the performance of Brassica oleracea. Both earthworms and nematodes increased N uptake and shoot biomass of B. oleracea. Earthworm activity mobilized more soil N than litter N, and herbivory by nematodes tended to increase the microbial biomass in soil. Only the structural class of sulphur containing glucosinolates was affected by the soil organisms. Earthworms decreased glucoiberin concentrations in B. oleracea shoots. Glucoraphanin was affected by an interaction between earthworms and nematodes.","Mar 2006","DOI: 10.1007/s00049-005-0328-2","https://www.researchgate.net/publication/225614797_Effects_of_belowground_biota_on_primary_and_secondary_metabolites_in_Brassica_oleracea?_sg=7OzaroZRQM1VA4-TwWKjmpwUJsuz5vTowbPJveg2wR4tRysie3sweMGU6BjR8YGDvUzLV_xhm5dDcF4"
61,"MA2","Herbivory of an invasive slug is affected by earthworms and the composition of plant communities","Johann G Zaller","Thomas Drapela","Background Biodiversity loss and species invasions are among the most important human-induced global changes. Moreover, these two processes are interlinked as ecosystem invasibility is considered to increase with decreasing biodiversity. In temperate grasslands, earthworms serve as important ecosystem engineers making up the majority of soil faunal biomass. Herbivore behaviour has been shown to be affected by earthworms, however it is unclear whether these effects differ with the composition of plant communities. To test this we conducted a mesocosm experiment where we added earthworms (Annelida: Lumbricidae) to planted grassland communities with different plant species composition (3 vs. 12 plant spp.). Plant communities had equal plant densities and ratios of the functional groups grasses, non-leguminous forbs and legumes. Later, Arion vulgaris slugs (formerly known as A. lusitanicus; Gastropoda: Arionidae) were added and allowed to freely choose among the available plant species. This slug species is listed among the 100 worst alien species in Europe. We hypothesized that (i) the food choice of slugs would be altered by earthworms’ specific effects on the growth and nutrient content of plant species, (ii) slug herbivory will be less affected by earthworms in plant communities containing more plant species than in those with fewer plant species because of a more readily utilization of plant resources making the impacts of earthworms less pronounced. Results Slug herbivory was significantly affected by both earthworms and plant species composition. Slugs damaged 60% less leaves when earthworms were present, regardless of the species composition of the plant communities. Percent leaf area consumed by slugs was 40% lower in communities containing 12 plant species; in communities containing only three species earthworms increased slug leaf area consumption. Grasses were generally avoided by slugs. Leaf length and number of tillers was increased in mesocosms containing more plant species but little influenced by earthworms. Overall shoot biomass was decreased, root biomass increased in plant communities with more plant species. Earthworms decreased total shoot biomass in mesocosms with more plant species but did not affect biomass production of individual functional groups. Plant nitrogen concentrations across three focus species were 18% higher when earthworms were present; composition of plant communities did not affect plant quality. Conclusions Given the important role that both herbivores and earthworms play in structuring plant communities the implications of belowground-aboveground linkages should more broadly be considered when investigating global change effects on ecosystems.","May 2013","DOI: 10.1186/1472-6785-13-20","https://www.researchgate.net/publication/236738213_Herbivory_of_an_invasive_slug_is_affected_by_earthworms_and_the_composition_of_plant_communities?_sg=vZHJ83FniCfjboCiRKXS3GWxxn5zvzmQDe8bbGZ5R23Y4pHtg3k04iNfZ-qLJil9wWz811pD1jBGx5w"
62,"MA3","Historical anthropogenic disturbances influence patterns of non-native earthworm and plant invasions in a temperate primary forest","Robin Beauséjour","Mark Vellend","Time lags are of potentially great importance during biological invasions. For example, significant delays can occur between the human activities permitting the arrival of an invader, the establishment of this new species, and the manifestation of its impacts. In this context, to assess the influence of anthropogenic disturbances, it may become necessary to include a historical perspective. In this study, we reconstructed the history of human activities in a temperate forest now protected as a nature reserve to evaluate the magnitude and duration of the impact of human disturbances (e.g. trails, old quarries), as well as environmental factors, in explaining the probability of occurrence and the intensity of invasion by non-native earthworms and plants. The present-day patterns of distribution and intensity of earthworms and plants were better explained by proximity to the oldest human disturbances (initiated more than a century ago) than by proximity to more recent disturbances or to all disturbances combined. We conclude that understanding present-day patterns of non-native species invasions may often require reconstructing the history of human disturbances that occurred decades or even centuries in the past.","Apr 2014","DOI: 10.1007/s10530-014-0794-y","https://www.researchgate.net/publication/273894703_Historical_anthropogenic_disturbances_influence_patterns_of_non-native_earthworm_and_plant_invasions_in_a_temperate_primary_forest?_sg=ZabnVTQT8jBCvPqaBfRC0W2hvskl3SxC8R9MSdk3yQrppC8wtbEx3vvYlBPN5vJK3GhAPKEJqVsluqU"
63,"MA3","Invasive Earthworm (Oligochaeta: Lumbricidae) Populations in varying Vegetation Types on a Landscape-and Local-scale","Anna Rożen","Anna Rożen","A growing understanding about the impacts of earthworms (Oligochaeta: Lumbricidae) on ecosystem processes and forest restoration necessitates an examination of their role in Canadian forests where they have become invasive. Little is known about the landscape scale responses of earthworm populations to different regional characteristics and vegetation types within Canada’s central woodlands. We examined the spatial variation of earthworm species richness, biomass, and assemblage composition across a range of four municipal regions (from south to north: Halton, Wellington, York, and Simcoe) and four habitat types (deciduous forest, mixed forest, tree plantation, and meadow) with varying soil characteristics in woodlands of south-central Ontario, Canada. In general, earthworm communities differed by region but not by habitat type. The most southern regions supported the highest earthworm species richness, biomass (i.e. Lumbricus and Octolasion), and density, and this was associated with a south-north gradient in soil characteristics. Assemblage composition differed by region but not by habitat type. Our results provide baseline information about earthworm communities in south-central Ontario forests, and will enable managers to plan for the increasing role of earthworms in Canada’s future forests.","Jan 2017","DOI: 10.1139/cjfr-2016-0337","https://www.researchgate.net/publication/312564710_Exotic_earthworm_Oligochaeta_Lumbricidae_assemblages_on_a_landscape-scale_in_central_Canadian_woodlands_Importance_of_region_and_vegetation_type?_sg=fCH9OlICqO7sV4PPS6o1YM1omXAfXt2hKBp8psRcJSq5bOsrc0GSp88cJ884FL7rJfVL79kT5CJvGjA"
64,"MA3","Exotic earthworms of great lakes forests: A search for indicator plant species in maple forests","Kathryn Corio","Gary Fewless","The invasion of exotic earthworms in previously earthworm-free northern deciduous forests has been linked to the disappearance of forest floor litter, declines in plant species richness, and the development of monotypic stands of Carex pensylvanica. However, the impact of exotic earthworms on the regeneration of trees and understory plants is largely unknown. We examined the relationships between earthworm density, plant species richness, leaf litter accumulation, number of tree (Acer) seedlings, and cover of C. pensylvanica at 14 sites in mesic hardwood forests of the Chequamegon-Nicolet National Forest in northern Wisconsin. Earthworm biomass, especially of the genera Lumbricus, Aporrectodea, and Octolasion was negatively associated with leaf litter mass and number of Acer seedlings. Nine plant species, including two spring ephemerals (Dicentra cucullaria and Osmorhiza claytonii), a sedge (Carexdeweyana), and an invasive mint (Galeopsis tetrahit) were negatively correlated with exotic earthworm densities. Dryopteris intermedia and Allium tricoccum, on the other hand, were associated with high earthworm densities. The activities of exotic earthworms appear to have significant impacts on Acer regeneration and the persistence of many herbaceous plants. Our findings suggest that the effects of exotic earthworms on litter mass are strongly related to the observed effects on species composition. Sensitive species can be used as indicators of high and low earthworm densities and might be useful for identifying forests of high conservation value where future invasions of exotic earthworms should be prevented.","Sep 2009","DOI: 10.1016/j.foreco.2009.05.013","https://www.researchgate.net/publication/248428011_Exotic_earthworms_of_Great_Lakes_forests_a_search_for_indicator_plant_species_in_maple_forests?_sg=S4bm9or5oqJc3xmEpionF6dnJFdkppBZdYcsrSL-h54iMRpNaBHsxJeQoA-0Aiu3vKWMowfKvnsLNYY"
65,"MA3","Invasion of a deciduous forest by earthworms: changes in soil chemistry, microflora, microarthropods and vegetation","Nico Eisenhauer","Stefan Scheu","Ecosystems of northern North America existed without earthworm fauna until European settlers arrived and introduced European species. The current extent of invasion by some of these species, Lumbricus terrestris L., Octolasion tyrtaeum Savigny and Dendrobaena octaedra Savigny, into an aspen forest in the Canadian Rocky Mountains and the effects of the invasion on soil chemistry, microflora, soil microarthropods and vegetation were investigated. Densities of earthworm species, soil structure, plant coverage and abundance were determined along three transects starting at the edge of the forest. At locations with L. terrestris, litter was incorporated into the soil, and where O. tyrtaeum was present, organic layers were mixed with mineral soil layers. Organic layers disappeared almost entirely when both species occurred together. Carbon and nitrogen concentrations were reduced in organic layers in the presence of L. terrestris and O. tyrtaeum. Microbial biomass and basal respiration were reduced when L. terrestris and O. tyrtaeum were present, presumably due to resource competition and habitat destruction. Microarthropod densities and the number of microarthropod species were strongly reduced in the presence of O. tyrtaeum (−75% and −22%, respectively), probably through mechanical disturbances, increasing compactness of the soil and resource competition. The coverage of some plant species was correlated with earthworm abundance, but the coverage of others was not. Despite harsh climatic conditions, the invasion of boreal forest ecosystems by mineral soil dwelling earthworm species is proceeding and strongly impacts soil structure, soil chemistry, microorganisms, soil microarthropods and vegetation.","May 2007","DOI: 10.1016/j.soilbio.2006.12.019","https://www.researchgate.net/publication/222207820_Invasion_of_a_deciduous_forest_by_earthworms_Changes_in_soil_chemistry_microflora_microarthropods_and_vegetation?_sg=K1aqutGHNXXeq_KeIfVZ-xP3f_cVbSpPReV-HuTBSuabsP2nirC8Dbb7ncPYWd_5_g4TwBjtJLuT4MI"
66,"MA3","Invasive Earthworms and Plants in Indiana Old- and Second-Growth Forests","Kevin D. Gibson","Eileen J. Kladivko","Hardwood forests in eastern North America are being colonized by multiple nonnative plant and animal species. Colonization rates can be affected by stand structure and distance from edge. We sampled earthworm densities and understory plant species cover in transects located in paired old- and second-growth forests in Indiana. Two 100-m transects were established within each forest stand during late April to early May in each year. One transect was placed parallel to and within 5 m of a south- or west-facing edge. The second transect was placed parallel to the first. but at no less than 100 m from any edge. Nonnative earthworms and plants were found in forest edge and interior regardless of structural stage (second-growth vs. old-growth). The number of native plant species decreased linearly as the densities of adult Lumbricus and Aporrectodea earthworms and the percent cover of multiflora rose (an invasive plant species) increased. Densities of L. terrestris and Aporrectodea earthworms and percent cover of multiflora rose cumulatively explained 39% of the variation in the number of native plant species found in transects across the state. However, multivariate analyses suggested that the species composition of Indiana understory plant communities was affected more by geography than by earthworm densities. Our results suggest that nonnative earthworms and plants are ubiquitous in Indiana hardwood forests and that they may reduce the number of native plant species.","Mar 2013","DOI: 10.1614/IPSM-D-12-00046.1","https://www.researchgate.net/publication/273944536_Invasive_Earthworms_and_Plants_in_Indiana_Old-_and_Second-Growth_Forests?_sg=RTBOlUd4XMx9oVtsdFQEwI8J2W9jjdQf6hRUUTTgHV5PDtIybmlLsYwvk-XUZ2ZVBWJAiBgL1FLGPAY"
67,"MA3","Changes in Hardwood Forest Understory Plant Communities in Response to European Earthworm Invasions","Cindy M. Hale","Peter B. Reich","European earthworms are colonizing earthworm-free northern hardwood forests across North America. Leading edges of earthworm invasion provide an opportunity to investigate the response of understory plant communities to earthworm invasion and whether the species composition of the earthworm community influences that response. Four sugar maple-dominated forest sites with active earthworm invasions were identified in the Chippewa National Forest in north central Minnesota, USA. In each site, we established a 30 x 150 m sample grid that spanned a visible leading edge of earthworm invasion and sampled earthworm populations and understory vegetation over four years. Across leading edges of earthworm invasion, increasing total earthworm biomass was associated with decreasing diversity and abundance of herbaceous plants in two of four study sites, and the abundance and density of tree seedlings decreased in three of four study sites. Sample points with the most diverse earthworm species assemblage, independent of biomass, had the lowest plant diversity. Changes in understory plant community composition were most affected by increasing biomass of the earthworm species Lumbricus rubellus. Where L. rubellus was absent there was a diverse community of native herbaceous plants, but where L. rubellus biomass reached its maximum, the herbaceous-plant community was dominated by Carex pensylvanica and Arisaema triphyllum and, in some cases, was completely absent. Evidence from these forest sites suggests that earthworm invasion can lead to dramatic changes in the understory community and that the nature of these changes is influenced by the species composition of the invading earthworm community.","Aug 2006","DOI: 10.1890/0012-9658(2006)87[1637:CIHFUP]2.0.CO;2","https://www.researchgate.net/publication/6866478_Changes_in_hardwood_forest_understory_plant_communities_in_response_to_European_earthworm_invasions?_sg=MMK9Cpt4d_gHBjlt2bp0rphWq6IOCMmNfvsLh3_Xkge7-7ma1gkrFAQBNGS3pOeen8KsKXlNfnvTeB4"
68,"MA3","Earthworm Communities in Previously Glaciated and Unglaciated Eastern Deciduous Forests","Kristine N. Hopfensperger","Sarah Hamilton","In previously-glaciated eastern deciduous forests the effects of non-native earthworms on ecosystem dynamics including nutrient cycling, forest floor depth, and plant species diversity are often documented. Less well examined are non-native earthworm communities in unglaciated portions of eastern deciduous forests. We have been surveying earthworm and plant communities in Southwest Virginia since 2007 in 16 sites ranging from small woodlots to large nature reserves. Results/Conclusions Although historically native earthworms have been reported in the region, we have found no native earthworms from about 2,000 individuals collected. We have found 14 species of European origins and one of Asian origins. To date, we have found no correlations between earthworm abundance or diversity and plant community metrics or topographical features. Nonetheless, commonalities among earthworm communities include 1) Lumbricus terrestris (aneic niche) or L. rubellus (epigeic niche) or both are present at every site and are often the most abundant species; 2) at most sites, either Octolasion spp. or Apporectodea spp. are the second most common Genera (all are in the endogeic niche) and these Genera are rarely in the same site; and 3) mean species richnesses (for adults 2.53 (0.67 SE) and for juveniles 2.10 (0.27 SE)) are relatively low compared to a regional species pool of 15 species. Taken together our results indicate that earthworm communities in unglaciated eastern deciduous forests can be exclusively non-native and have low functional redundancy (e.g., richness about equals functional diversity). Understanding the implications of non-native earthworm communities is important as these ecosystem engineers are a driver of ecosystem dynamics.","Aug 2014","N/A","https://www.researchgate.net/publication/267288043_Non-native_earthworm_community_dynamics_in_unglaciated_eastern_deciduous_forests_Patterns_of_functional_and_species_diversity?_sg=g0tJPFPlQSicOhIKN-6P4GW62BpGMyJOdMb7gQ5c9PWI4yAnIW3uIpPK_iDUMO0t8Wt6ZtB_aVjy6So"
69,"MA3","Influence of Invasive Earthworms on Above and Belowground Vegetation in a Northern Hardwood Forest","Kristine N. Hopfensperger","Timothy J. Fahey","Scientists are beginning to have a firm grasp on the dramatic influence invasive earthworms can have on nutrient cycling in northern hardwood forests, yet a concrete understanding of their effects on plant communities is still needed. Towards this effort, we examined both the above and belowground plant communities, along with soil organic matter, pH, texture and light in Arnot Forest located in south central New York. Two transects were aligned parallel to previously defined gradients of earthworm density and were sampled in the spring and summer of 2008. We found plots codominated by multiple earthworm species decreased belowground seed abundance and species richness. Aboveground plant cover and diversity along with soil organic matter was lower along the transect with multiple earthworm species. In addition, we found earthworm density increased with soil pH, but did not detect relationships with soil texture or light intensity. Our results were consistent with previous findings of earthworms negatively affecting aboveground plant communities and soil organic matter, and increasing pH. Our study demonstrates the potential for exotic earthworms to dramatically alter forest soil seed banks; however, future research is needed to investigate complexities of earthworm community dynamics (e.g., number and life form of earthworm species) and to tease apart mechanisms responsible for changes in the belowground plant community.","Jul 2011","DOI: 10.1674/0003-0031-166.1.53","https://www.researchgate.net/publication/232693324_Influence_of_Invasive_Earthworms_on_Above_and_Belowground_Vegetation_in_a_Northern_Hardwood_Forest?_sg=AVgXQBnyIMrWDEio36E8516arze6aGQsIx8aHbOxmlycsLIomcoo3h8GsejuwR2kEoCZfzUkgHwyHbI"
70,"MA3","Earthworm Invasions in Northern Hardwood Forests: a Rapid Assessment Method","Scott R. Loss","Lee E. Frelich","Non-native earthworm invasions in north-temperate North America cause substantial adverse effects to hardwood forest ecosystems. Quantification of invasions is necessary for understanding impacts and identifying remnant earthworm-free areas, but existing sampling techniques are effort-intensive and/or environmentally damaging. We: (1) developed and applied a protocol that allows rapid classification of earthworm invasion into five stages based primarily on visual assessment of the forest floor, (2) sampled earthworms to test whether the protocol's stages can predict invasion by different species, and (3) assessed relationships between individual forest floor characteristics and presence of different earthworm species. Based on differences in biomass among points assigned to different stages, the 5-stage classification protocol accurately identified the onset of invasion by Lumbricus rubellus and Lumbricus terrestris, the species of greatest management concern in the northern Midwest. Except for middens as a predictor of L. terrestris presence, no forest floor variable was useful by itself for assessing invasions. The 5-stage protocol provides an efficient approach for assessing earthworm invasions in hardwood forests of the U.S. northern Midwest, can be implemented with minimal training, and serves as a blueprint for similar protocols in other regions experiencing earthworm invasions.","Jan 2013","DOI: 10.3375/043.033.0103","https://www.researchgate.net/publication/236672986_Earthworm_Invasions_in_Northern_Hardwood_Forests_a_Rapid_Assessment_Method?_sg=Zs9lTUTzfJ5UwXj-h-AgIZicFGJ92IAMTg28aYVpjWDvH4T-ZfFHhdF-58gklvRHlWShU_EfLb7RXfs"
71,"MA3","Earthworm invasion as the driving force behind plant invasion and community change in northeastern North American forests","VICTORIA A. NUZZO","BERND BLOSSEY","Identification of factors that drive changes in plant community structure and contribute to decline and endangerment of native plant species is essential to the development of appropriate management strategies. Introduced species are assumed to be driving causes of shifts in native plant communities, but unequivocal evidence supporting this view is frequently lacking. We measured native vegetation, non-native earthworm biomass, and leaf-litter volume in 15 forests in the presence and absence of 3 non-native plant species (Microstegium vimineum, Alliaria petiolata, Berberis thunbergii) to assess the general impact of non-native plant and earthworm invasions on native plant communities in northeastern United States. Non-native plant cover was positively correlated with total native plant cover and non-native earthworm biomass. Earthworm biomass was negatively associated with cover of native woody and most herbaceous plants and with litter volume. Graminoid cover was positively associated with non-native earthworm biomass and non-native plant cover. These earthworm-associated responses were detected at all sites despite differences in earthworm species and abundance, composition of the native plant community, identity of invasive plant species, and geographic region. These patterns suggest earthworm invasion, rather than non-native plant invasion, is the driving force behind changes in forest plant communities in northeastern North America, including declines in native plant species, and earthworm invasions appear to facilitate plant invasions in these forests. Thus, a focus on management of invasive plant species may be insufficient to protect northeastern forest understory species.","Mar 2009","DOI: 10.1111/j.1523-1739.2009.01168.x","https://www.researchgate.net/publication/24034178_Earthworm_Invasion_as_the_Driving_Force_Behind_Plant_Invasion_and_Community_Change_in_Northeastern_North_American_Forests?_sg=LtfALvEQzfBXOp5VybuPqHHYjLlt2PKRjtv25-2JQNlnh8ChtwUViAOxbxDwLfuYn1Ws3D-tUthaj3A"
72,"MA3","A study of herbaceous vegetation in Chequamegon - Nicolet National Forest: relationship of earthworms, white-tailed deer browsing and Carex pensylvanica Lam.","Ephraim Zimmerman","Staphanie Perles","White-tailed deer, Odocoileus virginianus, have induced direct and indirect changes in hardwood forest ecosystems by over-browsing. As a result of browsing, direct influences include significant changes in the composition of the understory seedling and sapling composition, abundance and diversity. Although direct effects of white-tailed deer browsing are well studied indirect effects of herbivory are not well understood. From 1979-1990, deer density was manipulated in regions of Allegheny hardwood forests in NW Pennsylvania and ultimately resulted in significant changes in understory composition. Roughly thirty years after the initial research indirect effects of deer browsing are being studied, in particular insect composition, abundance and diversity. We hypothesized that tree species most impacted by deer would have the greatest insect density because these species are likely to be poorly defended by plant chemicals. In 2009, we sampled insects from 261 branch tips of the most common tree species using a pole-mounted tree pruner and collection bag. Bags were sealed and brought to the lab, where all arthropods were collected, counted, identified, photographed using a calibrated digital camera and preserved for identification. Leaves from each branch were removed, dried and weighed and caterpillar abundance was standardized to number per kg leaf mass. Differences in caterpillar density among tree species were analyzed with general linear mixed models in SAS 9.1. Results/Conclusions Dominant tree species were red maple (Acer rubrum), sugar maple (Acer saccharum), striped maple (Acer pensylvanicum), sweet birch (Betula lenta), yellow birch (Betula alleghaniensis), American beech (Fagus grandifolia), pin cherry (Prunus pensylvanica), and black cherry (Prunus serotina). Tree species significantly (P = 0.0056) differed in mean caterpillar density per kg foliage. Pin cherry supported over five times the number of caterpillars as black cherry, the species with the next-highest caterpillar density. Caterpillar density on black cherry did not significantly differ from density on other tree species. These results are consistent with the hypothesis that plants most impacted by deer would have the highest caterpillar density. Data collected in summer 2010 will determine if insect communities that occur on different tree species differ in composition and if the relative proportions of host generalists and specialists differ on each tree species. Results of this study will enable a better understanding of the indirect effects deer have on insect populations in forest ecosystems that were previously exposed to white-tailed deer over-browsing.","Aug 2010","N/A","https://www.researchgate.net/publication/267282543_Effects_of_white-tailed_deer_browsing_on_insect_diversity_in_Allegheny_hardwood_forests?_sg=4S-gGYPrcaA2b1X9sA2gBrbZSCjDmfWmuWWuT2kOKPbg-aw097FujJtEFiGFhgiR8frkmshlzsJB2Cc"
73,"MA3","Two decades of low-severity prescribed fire increases soil nutrient availability in a Midwestern, USA oak (Quercus) forest","B.C. Scharenbroch","M.L. Bowles","For the last 23 years, low-severity prescribed fire has been used to decrease shade and fire tolerant tree species, increase oak (Quercus spp.), and increase herbaceous plant diversity in the East Woods of The Morton Arboretum, Lisle, Illinois, USA. The impacts of these fires on the belowground ecosystem have yet to be measured. Soil (0 to 10 cm) and litter samples were collected 12, 19, and 24 months following the most recent fire on 40 plots in burned and un-burned control areas. Soil physical, chemical, and biological properties were measured and compared with vegetation composition and structure from these same plots. Compared to un-burned controls, burn plots had greater canopy openness, greater herbaceous richness, and a lower spring/summer herbaceous ratio. Burned plots had higher soil moisture content, pH, electrical conductivity, Ca2 +, Mg2 +, K+, Na+, NO3−, total N, particulate organic matter (POM), total organic C, and potential N mineralization. Soil microbial biomass and respiration, texture, color, aggregate stability, and hydrophobicity were not different in burned compared to un-burned plots. Indices of litter and soil invertebrate diversity were also not affected by prescribed fire. Three stepwise least squares models predicted woody richness, herbaceous richness, and spring/summer herbs with aspect, litter invertebrate richness, and soil factors (pH, potential N mineralization, C/N ratio, Mg2 +, Bray P, and soil invertebrate Simpson index). These results confirm others showing prescribed fire to increase soil nutrient availability. Forest structural changes with fire appear correlated with soil nutrient availability. Decreased soil C, nutrient retention, invertebrate diversity, or increased hydrophobicity and the presence of exotic plants is often observed with high-severity fire; but, these negative impacts do not appear to be present with these long-term, low-severity fires.","Aug 2012","DOI: 10.1016/j.geoderma.2012.03.010","https://www.researchgate.net/publication/256716431_Two_decades_of_low-severity_prescribed_fire_increases_soil_nutrient_availability_in_a_Midwestern_USA_oak_Quercus_forest?_sg=M4EJZXF72y8yojCWIjlUFvFEbloLfLHO0N0_cwOHvQW9FH-PceOuYSVzj37VqNicgiJs5d49xqb4ggo"
