,Title,First author,Last author,Abstract,Journal,Language,Year,Month,First Author Country,Last Author Country,DOI,DOI URL
70,The mineral nutrition of wild plants revisited: A re-evaluation of processes and patterns.,R. Aerts,F.S. Chapin,No data,Elsevier,No data,1999.0,No data,No data,No data,10.1016/s0065-2504(08)60016-1,http://dx.doi.org/10.1016/s0065-2504(08)60016-1
71,Macroevolution of plant defense strategies.,Anurag A. Agrawal,Anurag A. Agrawal,No data,Elsevier BV,en,2007.0,No data,No data,No data,10.1016/j.tree.2006.10.012,http://dx.doi.org/10.1016/j.tree.2006.10.012
72,Earthworm functional traits and interspecific interactions affect plant nitrogen acquisition and primary production.,Walter S. Andriuzzi,Thomas Bolger,No data,Elsevier BV,en,2016.0,No data,No data,No data,10.1016/j.apsoil.2015.09.006,http://dx.doi.org/10.1016/j.apsoil.2015.09.006
73,Potential impact of soil microbiomes on the leaf metabolome and on herbivore feeding behavior.,Dayakar V. Badri,Jorge M. Vivanco,"<jats:title>Summary</jats:title><jats:p>
<jats:list list-type=""bullet"">

<jats:list-item><jats:p>It is known that environmental factors can affect the biosynthesis of leaf metabolites. Similarly, specific pairwise plant–microbe interactions modulate the plant's metabolome by stimulating production of phytoalexins and other defense‐related compounds. However, there is no information about how different soil microbiomes could affect the plant growth and the leaf metabolome.</jats:p></jats:list-item>

<jats:list-item><jats:p>We analyzed experimentally how diverse soil microbiomes applied to the roots of <jats:italic><jats:styled-content style=""fixed-case"">A</jats:styled-content>rabidopsis thaliana</jats:italic> were able to modulate plant growth and the leaf metabolome, as assessed by <jats:styled-content style=""fixed-case"">GC</jats:styled-content>‐<jats:styled-content style=""fixed-case"">MS</jats:styled-content> analyses. Further, we determined the effects of soil microbiome‐driven changes in leaf metabolomics on the feeding behavior of <jats:italic><jats:styled-content style=""fixed-case"">T</jats:styled-content>richopulsia ni</jats:italic> larvae.</jats:p></jats:list-item>

<jats:list-item><jats:p>Soil microbiomes differentially impacted plant growth patterns as well as leaf metabolome composition. Similarly, most microbiome‐treated plants showed inhibition to larvae feeding, compared with unamended control plants. Pyrosequencing analysis was conducted to determine the soil microbial composition and diversity of the soils used in this study.</jats:p></jats:list-item>

<jats:list-item><jats:p>Correlation analyses were performed to determine relationships between various factors (soil microbial taxa, leaf chemical components, plant growth patterns and insect feeding behavior) and revealed that leaf amino acid content was positively correlated with both microbiome composition and insect feeding behavior.</jats:p></jats:list-item>
</jats:list>
</jats:p>",Wiley,en,2013.0,No data,USA,USA,10.1111/nph.12124,http://dx.doi.org/10.1111/nph.12124
74,Experimental evidence that soil fauna enhance nutrient mineralization and plant nutrient uptake in montane grassland ecosystems.,Richard D Bardgett,Kin F Chan,No data,Elsevier BV,en,1999.0,No data,No data,No data,10.1016/s0038-0717(99)00014-0,http://dx.doi.org/10.1016/s0038-0717(99)00014-0
75,Using meta-regression to explore moderating effects in surveys of international achievement.,T. D. Stanley,Stephen B. Jarrell,No data,Wiley,en,2005.0,No data,No data,No data,10.1111/j.0950-0804.2005.00249.x,http://dx.doi.org/10.1111/j.0950-0804.2005.00249.x
76,Earthworm services for cropping systems.,Michel Bertrand,Jean Roger-Estrade,No data,Springer Science and Business Media LLC,en,2015.0,No data,No data,No data,10.1007/s13593-014-0269-7,http://dx.doi.org/10.1007/s13593-014-0269-7
77,Role of earthworms in soil fertility maintenance through the production of biogenic structures.,Tunira Bhadauria,Krishan Gopal Saxena,"<jats:p>The soil biota benefits soil productivity and contributes to the sustainable function of all ecosystems. The cycling of nutrients is a critical function that is essential to life on earth. Earthworms (EWs) are a major component of soil fauna communities in most ecosystems and comprise a large proportion of macrofauna biomass. Their activity is beneficial because it can enhance soil nutrient cycling through the rapid incorporation of detritus into mineral soils. In addition to this mixing effect, mucus production associated with water excretion in earthworm guts also enhances the activity of other beneficial soil microorganisms. This is followed by the production of organic matter. So, in the short term, a more significant effect is the concentration of large quantities of nutrients (N, P, K, and Ca) that are easily assimilable by plants in fresh cast depositions. In addition, earthworms seem to accelerate the mineralization as well as the turnover of soil organic matter. Earthworms are known also to increase nitrogen mineralization, through direct and indirect effects on the microbial community. The increased transfer of organic C and N into soil aggregates indicates the potential for earthworms to facilitate soil organic matter stabilization and accumulation in agricultural systems, and that their influence depends greatly on differences in land management practices. This paper summarises information on published data on the described subjects.</jats:p>",Hindawi Limited,en,2010.0,No data,India,India,10.1155/2010/816073,http://dx.doi.org/10.1155/2010/816073
78,A review of earthworm impact on soil function and ecosystem services.,M. Blouin,J.‐J. Brun,"<jats:title>Summary</jats:title><jats:p>Biodiversity is responsible for the provision of many ecosystem services; human well‐being is based on these services, and consequently on biodiversity. In soil, earthworms represent the largest component of the animal biomass and are commonly termed ‘ecosystem engineers’. This review considers the contribution of earthworms to ecosystem services through pedogenesis, development of soil structure, water regulation, nutrient cycling, primary production, climate regulation, pollution remediation and cultural services. Although there has been much research into the role of earthworms in soil ecology, this review demonstrates substantial gaps in our knowledge related in particular to difficulties in identifying the effects of species, land use and climate. The review aims to assist people involved in all aspects of land management, including conservation, agriculture, mining or other industries, to obtain a broad knowledge of earthworms and ecosystem services.</jats:p>",Wiley,en,2013.0,No data,France,France,10.1111/ejss.12025,http://dx.doi.org/10.1111/ejss.12025
79,"Belowground organism activities affect plant aboveground phenotype, inducing plant tolerance to parasites.",Manuel Blouin,Patrick Lavelle,"<jats:title>Abstract</jats:title><jats:p>Soil fauna activities are probably more important than currently acknowledged in determining individual plant response to stresses and overall plant diversity. Here we demonstrate that the positive effect of earthworms on rice could be the result of a systemic effect on plant physiology. Moreover, this effect could improve tolerance to stressors such as parasitic nematodes. In a controlled experiment, an 82% decrease in the production of infested plants was suppressed when earthworms were present. Earthworms had no direct effect on nematode population size. In their presence, however, root biomass was not affected by nematodes and the expected inhibition of photosynthesis was suppressed. In the leaves, the expression of three stress‐responsive genes (coding for lipoxygenase, phospholipase D and cysteine protease) was modulated by the presence of belowground invertebrate activities. We document conflicting systemic effects of parasitic nematodes and beneficial earthworms, although we cannot precisely identify the mechanism involved. These results reveal the importance of non‐trophic belowground/aboveground interactions for plant health and response to stresses.</jats:p>",Wiley,en,2005.0,No data,No data,No data,10.1111/j.1461-0248.2004.00711.x,http://dx.doi.org/10.1111/j.1461-0248.2004.00711.x
80,Interactive effects of functionally different earthworm species on aggregation and incorporation and decomposition of newly added residue carbon.,Heleen Bossuyt,Paul F. Hendrix,No data,Elsevier BV,en,2006.0,No data,No data,No data,10.1016/j.geoderma.2005.01.005,http://dx.doi.org/10.1016/j.geoderma.2005.01.005
81,Interactions between earthworms and plant-parasitic nematodes.,Johnny Boyer,André Chabanne,No data,Elsevier BV,en,2013.0,No data,No data,No data,10.1016/j.ejsobi.2013.10.004,http://dx.doi.org/10.1016/j.ejsobi.2013.10.004
82,How earthworms affect plant growth: Burrowing into the mechanisms.,No data,No data,No data,CRC Press,No data,2004.0,No data,No data,No data,10.1201/9781420039719-9,http://dx.doi.org/10.1201/9781420039719-9
83,Analysis of wheat resistance to the cereal aphid Sitobion avenae using electrical penetration graphs and flow charts combined with correspondence analysis.,Claudia M. Caillaud,J. P. Di Pietro,"<jats:title>Abstract</jats:title><jats:p>The behaviour of <jats:italic>Sitobion avenae</jats:italic> (F.) was compared on resistant wheat lines of <jats:italic>Triticum monococcum</jats:italic> (L.) and a susceptible variety of <jats:italic>Triticum aestivum</jats:italic> (L.). Firstly, stylet penetration activities were monitored with the Electrical Penetration Graph (EPG) technique and subsequently analysed using flow charts combined with correspondence analysis. Plant resistance was shown to be associated with repeated penetrations without access to either the xylem or the phloem, and with numerous failures in starting a sustained sap ingestion (as represented by pattern E2). Access to sieve elements of the phloem did not seem to be much affected on resistant plants but it took the aphid three times as long to produce a sap ingestion pattern when maintained on the resistant line <jats:italic>T. monococcum</jats:italic> n ° 44 (Tm44) as compared with aphids maintained on susceptible plants. As a result the total time spent in ingesting from sieve elements was reduced by 72% on Tm44. Secondly, direct observations of freely‐moving apterous adults were performed. Aphids did not discriminate between resistant and susceptible wheat during the first 30 min of access to test leaves, but only 4 out of 25 aphids were still probing after eight hours on resistant Tm44.</jats:p><jats:p>The relevance of these results to possible location of the resistance factor(s) are discussed. Although detection of plant resistance before sieve elements are reached can not be rigorously excluded, the factors involved in <jats:italic>T. monococcum</jats:italic> resistance to <jats:italic>S. avenae</jats:italic> undoubtedly occur within the phloem vessels.</jats:p>",Wiley,en,1995.0,No data,No data,No data,10.1111/j.1570-7458.1995.tb01904.x,http://dx.doi.org/10.1111/j.1570-7458.1995.tb01904.x
84,The green peach aphid Myzus persicae perform better on pre-infested Chinese cabbage Brassica pekinensis by enhancing host plant nutritional quality,He-He Cao,Tong-Xian Liu,"<jats:title>Abstract</jats:title><jats:p>The green peach aphid, <jats:italic>Myzus persicae</jats:italic> Sulzer, is a notorious pest on vegetables, which often aggregates in high densities on crop leaves. In this study, we investigated whether <jats:italic>M. persicae</jats:italic> could suppress the resistance level of Chinese cabbage <jats:italic>Brassica pekinensis</jats:italic>. <jats:italic>M. persicae</jats:italic> performed better in terms of weight gain (~33% increase) and population growth (~110% increase) when feeding on previously infested (pre-infested) Chinese cabbage compared with those on non-infested plants. However, when given a choice, 64% of the aphids preferred to settle on non-infested leaves, while 29% of aphids chose pre-infested leaves that had a 2.9 times higher concentration of glucosinolates. Aphid feeding significantly enhanced the amino acid:sugar ratio of phloem sap and the absolute amino acid concentration in plant leaves. Aphid infestation significantly increased the expression levels of salicylic acid (SA) marker genes, while it had marginal effects on the expression of jasmonate marker genes. Exogenously applied SA or methyl jasmonate had no significant effects on <jats:italic>M</jats:italic>. <jats:italic>persicae</jats:italic> performance, although these chemicals increased glucosinolates concentration in plant leaves. <jats:italic>M</jats:italic>. <jats:italic>persicae</jats:italic> infestation increase amino acid:sugar ratio and activate plant defenses, but aphid performed better on pre-infested plants, suggesting that both nutrition and toxics should be considered in insect-plant interaction.</jats:p>",Springer Science and Business Media LLC,en,2016.0,No data,No data,No data,10.1038/srep21954,http://dx.doi.org/10.1038/srep21954
85,Resource availability and plant antiherbivore defense.,Phyllis D. Coley,F. Stuart Chapin,"<jats:p>The degree of herbivory and the effectiveness of defenses varies widely among plant species. Resource availability in the environment is proposed as the major determinant of both the amount and type of plant defense. When resources are limited, plants with inherently slow growth are favored over those with fast growth rates; slow rates in turn favor large investments in antiherbivore defenses. Leaf lifetime, also determined by resource availability, affects the relative advantages of defenses with different turnover rates. Relative limitation of different resources also constrains the types of defenses. The proposals are compared with other theories on the evolution of plant defenses.</jats:p>",American Association for the Advancement of Science (AAAS),en,1985.0,No data,84112.,99701.,10.1126/science.230.4728.895,http://dx.doi.org/10.1126/science.230.4728.895
86,Soil animals and pedogenesis: The role of earthworms in anthropogenic soils.,Luis Cunha,Peter Kille,No data,Ovid Technologies (Wolters Kluwer Health),en,2016.0,No data,No data,No data,10.1097/ss.0000000000000144,http://dx.doi.org/10.1097/ss.0000000000000144
87,The feeding ecology of earthworms – A review. Pedobiologia.,James P. Curry,Olaf Schmidt,No data,Elsevier BV,en,2007.0,No data,No data,No data,10.1016/j.pedobi.2006.09.001,http://dx.doi.org/10.1016/j.pedobi.2006.09.001
88,Competition and resource-mediated tradeoffs between growth and defensive chemistry in trembling aspen (Populus tremuloides).,Jack R. Donaldson,Richard L. Lindroth,No data,Wiley,en,2005.0,No data,No data,No data,10.1111/j.1469-8137.2005.01613.x,http://dx.doi.org/10.1111/j.1469-8137.2005.01613.x
89,Earthworms as drivers of the competition between grasses and legumes.,Valerie Eviner,Valerie Eviner,No data,H1 Connect,No data,2008.0,No data,USA,USA,10.3410/f.1123874.580974,http://dx.doi.org/10.3410/f.1123874.580974
90,The role of protein effectors in plantaphid interactions.,Isgouhi Kaloshian,Isgouhi Kaloshian,No data,Entomological Society of America,No data,2016.0,No data,No data,No data,10.1603/ice.2016.106255,http://dx.doi.org/10.1603/ice.2016.106255
91,The growth-defense trade-off and habitat specialization by plants in Amazonian forests.,Paul V. A. Fine,Phyllis D. Coley,No data,Wiley,en,2006.0,No data,No data,No data,10.1890/0012-9658(2006)87[150:tgtahs]2.0.co;2,http://dx.doi.org/10.1890/0012-9658(2006)87[150:tgtahs]2.0.co;2
92,Effects of Allelochemicals from First (Brassicaceae) and second (Myzus persicae and Brevicoryne brassicae) trophic levels on Adalia bipunctata.,Amador Valverde Cadillo,Roberto Solano Porras,"<jats:p>The Brevicoryne brassicae aphid is an important pest of several plants of the Brassicaceae family worldwide. In the Mantaro Valley-Peru, it causes economic losses in cabbage and broccoli crops. Myzus persicae is the most important pest in potato cultivation. Myzaphis rosarum colonizes both wild and cultivated rose bushes and trees. To control it, farmers use toxic chemical insecticides that cause health problems. Faced with this problem, biocontrol is an important component of sustainable production to control pests. Hippodamia convergens is a predator of aphids, so it is necessary to know its biology and predation in its different prey. The objective was to determine the duration of the development stages, longevity, fecundity and performance of the predator H. convergens reared with cabbage aphids B. barssicae, Myzaphis rosarum and Myzus persicae. The completely randomized design was used, with 10 repetitions and three treatments or species of aphids. The aphid species used as food for the predator influenced the duration of preimaginal and adult development. Egg-adult development was longer with 34.1 days with B. brassicae and shorter with M. rosarum and M. persicae with 22.8 and 22.5 days respectively. Cabbage glucosinolates absorbed by B. barssicae negatively affected the growth rate, development, weight gain, survival, fecundity and predation capacity of H. convergens.</jats:p>",Universidad Nacional de Trujillo,No data,2022.0,No data,No data,No data,10.17268/agroind.sci.2022.03.01,http://dx.doi.org/10.17268/agroind.sci.2022.03.01
93,The meta-analysis of response ratios in experimental ecology.,Larry V. Hedges,Peter S. Curtis,No data,Wiley,No data,1999.0,No data,No data,No data,10.2307/177062,http://dx.doi.org/10.2307/177062
94,The dilemma of plants: To grow or defend.,Daniel A. Herms,William J. Mattson,No data,University of Chicago Press,en,1992.0,No data,No data,No data,10.1086/417659,http://dx.doi.org/10.1086/417659
95,Earthworms influence the production of above and belowground biomass and the expression of genes involved in cell proliferation and stress responses in Arabidopsis thaliana.,Ulrike Jana,Anne Repellin,No data,Elsevier BV,en,2010.0,No data,No data,No data,10.1016/j.soilbio.2009.10.022,http://dx.doi.org/10.1016/j.soilbio.2009.10.022
96,Handbook of meta-analysis in ecology and evolution.,No data,No data,"<p>Meta-analysis is a powerful statistical methodology for synthesizing research evidence across independent studies. This is the first comprehensive handbook of meta-analysis written specifically for ecologists and evolutionary biologists, and it provides an invaluable introduction for beginners as well as an up-to-date guide for experienced meta-analysts. The chapters walk readers through every step of meta-analysis, from problem formulation to the presentation of the results. The book identifies both the advantages of using meta-analysis for research synthesis and the potential pitfalls and limitations of meta-analysis (including when it should not be used). Different approaches to carrying out a meta-analysis are described, and include moment and least-square, maximum likelihood, and Bayesian approaches, all illustrated using worked examples based on real biological datasets. The book is tailored to the biological sciences, and will provide an invaluable text for practitioners from graduate students and senior scientists to policymakers in conservation and environmental management.</p>",Princeton University Press,No data,2013.0,No data,No data,No data,10.23943/princeton/9780691137285.001.0001,http://dx.doi.org/10.23943/princeton/9780691137285.001.0001
97,volutionary ecology of plant defences against herbivores.,Marc T. J. Johnson,Marc T. J. Johnson,"<jats:title>Summary</jats:title><jats:p> <jats:bold>1.</jats:bold> Herbivores consume a large portion of the biomass produced by plants in virtually all ecosystems, which has dramatic effects on both the ecology and evolution of plants. In response to this threat, plants have evolved a diverse arsenal of direct and indirect defences to reduce herbivory and the impacts of damage on plant performance.</jats:p><jats:p> <jats:bold>2.</jats:bold> This special feature is a broad synthesis of the evolution and ecology of plant defences. The first objective of this special feature is to provide a review of what we have learned about plant defences against herbivores. The second objective is to stimulate debate and sow fresh ideas for the future research.</jats:p><jats:p> <jats:bold>3.</jats:bold> The 11 articles in this issue address three fundamental questions: (i) How do plants defend themselves against a diverse array of enemies? (ii) Why do plant species vary in defence? And (iii) What are the ecological and ecosystem‐level consequences of plant defence? In addressing these questions the articles cover the interdisciplinary nature of plant–herbivore evolutionary ecology, from genes to global patterns.</jats:p><jats:p> <jats:bold>4.</jats:bold> The articles contained in the special feature question existing paradigms and provide new analyses of data. In some cases, influential hypotheses are firmly supported with new analyses (e.g. the Resource Availability Hypothesis), whereas in other instances conventional wisdom is called into question (e.g. the importance of secondary metabolites in the microevolution of resistance) and popular hypotheses are rejected (e.g. the Apparency Hypothesis, the Latitudinal Biotic Interaction Hypothesis).</jats:p><jats:p> <jats:bold>5.</jats:bold> This is an exciting time for research on the evolutionary ecology of plant defences. The articles in this special feature provide a guide to how we can move forward in resolving existing problems and tackling new questions.</jats:p>",Wiley,en,2011.0,No data,No data,No data,10.1111/j.1365-2435.2011.01838.x,http://dx.doi.org/10.1111/j.1365-2435.2011.01838.x
98,Plant mediated effects of soil invertebrates and summer drought on above-ground multitrophic interactions.,Scott N. Johnson,Susan E. Hartley,"<jats:title>Summary</jats:title><jats:p> <jats:bold>1.</jats:bold> We conducted a large‐scale field study to determine how the interactive effects of earthworms (<jats:italic>Aporrectodea caliginosa</jats:italic>) and summer drought affected plant communities containing barley (<jats:italic>Hordeum vulgare</jats:italic>), shepherd’s purse (<jats:italic>Capsella bursa‐pastoris</jats:italic>) and common groundsel (<jats:italic>Senecio vulgaris</jats:italic>), and how such effects then influenced populations of the aphid <jats:italic>Rhopalosiphum padi</jats:italic> and its parasitoid, <jats:italic>Aphidius ervi</jats:italic>.</jats:p><jats:p> <jats:bold>2.</jats:bold> Total biomass of plant communities decreased by around 25% with summer drought, but was increased by the presence of earthworms by over 11%. The effects of drought and earthworms on <jats:italic>H. vulgare</jats:italic> differed in monocultures and mixed plant communities. In monocultures, earthworms had the biggest impact, increasing plant biomass, but drought had the biggest effect in multi‐species communities, causing a decrease in biomass.</jats:p><jats:p> <jats:bold>3.</jats:bold> Drought had an extremely negative impact on <jats:italic>S. vulgaris</jats:italic> shoot and root biomass, but this was ameliorated in the roots when earthworms were present. <jats:italic>Capsella bursa‐pastoris</jats:italic> was not significantly affected by drought or earthworms. Drought caused a significant increase in shoot nitrogen concentrations in all plants, including <jats:italic>H. vulgare</jats:italic> (from 19.2 to 23.8 mg g<jats:sup>−1</jats:sup>).</jats:p><jats:p> <jats:bold>4.</jats:bold> In total, 35 234 aphids were recorded, of which 3936 were parasitized. Drought conditions reduced aphid abundance by over 50%. The interaction was moderated by earthworms, which caused further declines in <jats:italic>R. padi</jats:italic> populations under drought conditions, most notably in monocultures.</jats:p><jats:p> <jats:bold>5.</jats:bold> The plant‐mediated effects of drought and earthworms (negative and positive, respectively) on <jats:italic>R. padi</jats:italic> had cascading effects on the parasitoid, <jats:italic>Aphidius ervi</jats:italic>, which declined in abundance with reduced numbers of <jats:italic>R. padi</jats:italic>. In addition, drought had a negative impact on <jats:italic>A. ervi</jats:italic> abundance beyond its impacts on aphid density, suggesting reduced prey quality as well as quantity.</jats:p><jats:p> <jats:bold>6.</jats:bold>
          <jats:italic>Synthesis</jats:italic>. This study demonstrated the effect of predicted climate change (i.e. reduced summer rainfall) on plant‐mediated interactions between earthworms and above‐ground multitrophic groups. These effects were seen to differ between monocultures and multi‐species plant communities, suggesting that changes in above‐ground–below‐ground linkages in response to drought may influence plant communities in the future.</jats:p>",Wiley,en,2010.0,No data,No data,No data,10.1111/j.1365-2745.2010.01748.x,http://dx.doi.org/10.1111/j.1365-2745.2010.01748.x
99,Plant mediated effects of earthworms on aphid dynamics.,Christian Körner,Christian Körner,No data,H1 Connect,No data,2006.0,Aug,Switzerland,Switzerland,10.3410/f.1030773.361491,http://dx.doi.org/10.3410/f.1030773.361491
100,"Induced responses to herbivory. Chicago, IL: University of Chicago Press.",John A. Pickett,John A. Pickett,No data,Wiley,en,1998.0,No data,No data,No data,10.1002/(sici)1096-9063(1998100)54:2<185::aid-ps795>3.0.co;2-2,http://dx.doi.org/10.1002/(sici)1096-9063(1998100)54:2<185::aid-ps795>3.0.co;2-2
101,Herbivore diet breadth and host plant defense mediate the tri-trophic effects of plant toxins on multiple coccinellid predators.,Angelos Katsanis,Kailen A. Mooney,No data,Public Library of Science (PLoS),en,2016.0,No data,No data,No data,10.1371/journal.pone.0155716,http://dx.doi.org/10.1371/journal.pone.0155716
102,"Earthworms, collembola and residue management change wheat (Triticum aestivum) and herbivore pest performance (Aphidina: Rhophalosiphum padi).",Xin Ke,Stefan Scheu,No data,Springer Science and Business Media LLC,en,2008.0,No data,No data,No data,10.1007/s00442-008-1106-y,http://dx.doi.org/10.1007/s00442-008-1106-y
103,Myzus persicae (green peach aphid) feeding on Arabidopsis induces the formation of a deterrent indole glucosinolate.,Jae Hak Kim,Georg Jander,"<jats:title>Summary</jats:title><jats:p>Cruciferous plants produce a wide variety of glucosinolates as a protection against herbivores and pathogens. However, very little is known about the importance of individual glucosinolates in plant defense and the regulation of their production in response to herbivory. When <jats:italic>Myzus persicae</jats:italic> (green peach aphid) feeds on Arabidopsis aliphatic glucosinolates pass through the aphid gut intact, but indole glucosinolates are mostly degraded. Although aphid feeding causes an overall decrease in Arabidopsis glucosinolate content, the production of 4‐methoxyindol‐3‐ylmethylglucosinolate is induced. This altered glucosinolate profile is not a systemic plant response, but is limited to the area in which aphids are feeding. Aphid feeding on detached leaves causes a similar change in the glucosinolate profile, demonstrating that glucosinolate transport is not required for the observed changes. Salicylate‐mediated signaling has been implicated in other plant responses to aphid feeding. However, analysis of <jats:italic>eds5</jats:italic>, <jats:italic>pad4</jats:italic>, <jats:italic>npr1</jats:italic> and <jats:italic>NahG</jats:italic> transgenic Arabidopsis, which are compromised in this pathway, demonstrated that aphid‐induced changes in the indole glucosinolate profile were unaffected. The addition of purified indol‐3‐ylmethylglucosinolate to the petioles of <jats:italic>cyp79B2 cyp79B3</jats:italic> mutant leaves, which do not produce indole glucosinolates, showed that this glucosinolate serves as a precursor for the aphid‐induced synthesis of 4‐methoxyindol‐3‐ylmethylglucosinolate. In artificial diets, 4‐methoxyindol‐3‐ylmethylglucosinolate is a significantly greater aphid deterrent in the absence of myrosinase than its metabolic precursor indol‐3‐ylmethylglucosinolate. Together, these results demonstrate that, in response to aphid feeding, Arabidopsis plants convert one indole glucosinolate to another that provides a greater defensive benefit.</jats:p>",Wiley,en,2007.0,Jul,No data,No data,10.1111/j.1365-313x.2006.03019.x,http://dx.doi.org/10.1111/j.1365-313x.2006.03019.x
104,Meta-analysis of sources of variation in fitness costs of plant antiherbivore defenses.,Julia Koricheva,Julia Koricheva,No data,Wiley,No data,2002.0,No data,No data,No data,10.2307/2680130,http://dx.doi.org/10.2307/2680130
105,Effects of mycorrhizal fungi on insect herbivores: A meta-analysis.,Julia Koricheva,Tara Jones,"<jats:p>Mycorrhizal status of the host plant is often ignored in studies on plant–herbivore interactions, but mycorrhizal colonization is known to induce many morphological, physiological, and biochemical changes in host plants, which in turn may alter plant quality as a host for insect herbivores. Both positive and negative effects of mycorrhizal colonization of the host plant on performance and density of insect herbivores have been reported in previous studies. We have conducted a meta‐analysis of 34 published and unpublished studies on this topic in order to find out the sources of variation in mycorrhizae effects on insect herbivores. Effects of mycorrhizae on chewing insects depended upon the parameter measured and the degree of herbivore feeding specialization. Density and consumption of chewing insects were higher on mycorrhizal plants, but this did not lead to greater plant damage, presumably because herbivore survival tended to be lower on mycorrhizal plants. Mono‐ and oligophagous chewers benefited from mycorrhizal colonization of their host plants, whereas performance of polyphagous chewers was reduced on mycorrhizal plants. Among sucking insects, phloem feeders benefited from mycorrhizal infection, but performance of mesophyll feeders was lower on mycorrhizal plants. The type of mycorrhiza was not important for chewing insects, but performance of sucking insects was increased more by arbuscular mycorrhizal fungi (AM) than by ectomycorrhizae (ECM). Among AM inoculation studies, the most commonly used fungal species,<jats:named-content content-type=""genus-species"">Glomus intraradices</jats:named-content>, tended to have a negative effect on chewer performance, whereas all other fungal species tended to have a positive effect. There was no significant difference in results between studies using inoculation and fungicides, field and laboratory studies, and published and unpublished studies. Mycorrhizal status of the host plant thus influences insect herbivore performance, but the magnitude and direction of the effect depend upon the feeding mode and diet breadth of the insect and the identity of fungi.</jats:p>",Wiley,en,2009.0,No data,No data,No data,10.1890/08-1555.1,http://dx.doi.org/10.1890/08-1555.1
106,Handbook of meta-analysis in ecology and evolution.,No data,No data,"<p>Meta-analysis is a powerful statistical methodology for synthesizing research evidence across independent studies. This is the first comprehensive handbook of meta-analysis written specifically for ecologists and evolutionary biologists, and it provides an invaluable introduction for beginners as well as an up-to-date guide for experienced meta-analysts. The chapters walk readers through every step of meta-analysis, from problem formulation to the presentation of the results. The book identifies both the advantages of using meta-analysis for research synthesis and the potential pitfalls and limitations of meta-analysis (including when it should not be used). Different approaches to carrying out a meta-analysis are described, and include moment and least-square, maximum likelihood, and Bayesian approaches, all illustrated using worked examples based on real biological datasets. The book is tailored to the biological sciences, and will provide an invaluable text for practitioners from graduate students and senior scientists to policymakers in conservation and environmental management.</p>",Princeton University Press,No data,2013.0,No data,No data,No data,10.23943/princeton/9780691137285.001.0001,http://dx.doi.org/10.23943/princeton/9780691137285.001.0001
107,Effects of residue decomposition on productivity and soil fertility in rice–wheat rotation.,No data,C. S. Bueno,"<jats:p>Rice (<jats:italic>Oryza sativa</jats:italic> L.)–wheat (<jats:italic>Triticum aestivum</jats:italic> L.) farmers in India burn or remove residues to facilitate seedbed preparation. Incorporation of residues before planting of the next crop generally decreases yields due to N immobilization. Since a window of about 40 d is available between rice harvest and wheat planting, the effect of time of incorporation on rice residue decomposition and N mineralization–immobilization was studied in 1992–1993. The mass loss of residue was 25% for a 10‐d, 35% for a 20‐d, and 51% for a 40‐d decomposition period before wheat planting. Nitrogen release from residue ranged from 6 to 9 kg ha<jats:sup>−1</jats:sup> during the wheat season. The immobilization of urea N decreased when residue was allowed to decompose for 10‐d or longer. Based on these studies, a long‐term (1993–2000) experiment was conducted on a sandy loam soil to examine the effect of time of residue incorporation before sowing wheat when compared with burning or removal of residue on yields, N‐use efficiency, and soil fertility. The effect of wheat residue incorporation with green manure (GM, <jats:italic>Sesbania cannabina</jats:italic> L.) on subsequent rice yields was also determined. Residue incorporation for 10 to 40 d had no effect on wheat yields. Rice yields increased (0.18–0.39 Mg ha<jats:sup>−1</jats:sup>) when wheat residue was incorporated with GM. Starter N applied at residue incorporation did not influence wheat yields but decreased N recovery efficiency. Physiological efficiency was higher when rice straw was incorporated in wheat and when wheat straw plus GM were incorporated in rice than when rice straw was incorporated for 10 d or when the straw was burned. The long‐term application of rice residue increased C accumulation in soil.</jats:p>",Wiley,en,2004.0,No data,India,Philippines,10.2136/sssaj2004.8540,http://dx.doi.org/10.2136/sssaj2004.8540
108,Effects of an endogeic and an anecic earthworm on the competition between four annual plants and their relative fecundity.,Kam-Rigne Laossi,Sébastien Barot,No data,Elsevier BV,en,2009.0,No data,No data,No data,10.1016/j.soilbio.2009.05.009,http://dx.doi.org/10.1016/j.soilbio.2009.05.009
109,Life-history constraints in grassland plant species: A growth-defence trade-off is the norm.,Eric M. Lind,Peter D. Wragg,"<jats:title>Abstract</jats:title><jats:p>Plant growth can be limited by resource acquisition and defence against consumers, leading to contrasting trade‐off possibilities. The competition‐defence hypothesis posits a trade‐off between competitive ability and defence against enemies (e.g. herbivores and pathogens). The growth‐defence hypothesis suggests that strong competitors for nutrients are also defended against enemies, at a cost to growth rate. We tested these hypotheses using observations of 706 plant populations of over 500 species before and following identical fertilisation and fencing treatments at 39 grassland sites worldwide. Strong positive covariance in species responses to both treatments provided support for a growth‐defence trade‐off: populations that increased with the removal of nutrient limitation (poor competitors) also increased following removal of consumers. This result held globally across 4 years within plant life‐history groups and within the majority of individual sites. Thus, a growth‐defence trade‐off appears to be the norm, and mechanisms maintaining grassland biodiversity may operate within this constraint.</jats:p>",Wiley,en,2013.0,No data,USA,USA,10.1111/ele.12078,http://dx.doi.org/10.1111/ele.12078
